Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
28.03.2022;00:00;01:00;45.708,75;39.768;988,5
28.03.2022;01:00;02:00;44.270,75;38.839,75;1.134,25
28.03.2022;02:00;03:00;43.668,5;38.626,75;1.478
28.03.2022;03:00;04:00;44.647,25;39.631,25;1.777
28.03.2022;04:00;05:00;46.212,5;40.900;1.271,75
28.03.2022;05:00;06:00;50.356,75;45.181,25;858,75
28.03.2022;06:00;07:00;58.066,75;53.213,25;199,5
28.03.2022;07:00;08:00;63.313,5;57.617,25;7,25
28.03.2022;08:00;09:00;65.807,25;55.120,25;39,25
28.03.2022;09:00;10:00;66.587;48.914,25;192,75
28.03.2022;10:00;11:00;67.023,25;42.374,5;679,25
28.03.2022;11:00;12:00;67.478,5;37.132,5;2.159
28.03.2022;12:00;13:00;67.109,25;32.744,5;4.762,75
28.03.2022;13:00;14:00;66.001,5;29.408,5;5.491,25
28.03.2022;14:00;15:00;65.021,75;28.398,75;5.745,5
28.03.2022;15:00;16:00;63.794,75;29.457,25;5.346,5
28.03.2022;16:00;17:00;62.307,75;32.525,5;4.199,5
28.03.2022;17:00;18:00;62.572;39.293,75;2.227,75
28.03.2022;18:00;19:00;63.695,75;48.156;675,75
28.03.2022;19:00;20:00;64.816,5;53.005,75;46,25
28.03.2022;20:00;21:00;64.384;52.661;64,75
28.03.2022;21:00;22:00;60.791,75;49.607,75;452,5
28.03.2022;22:00;23:00;57.226;46.833,75;794,25
28.03.2022;23:00;00:00;53.310;43.639,5;1.224
29.03.2022;00:00;01:00;49.827;40.836,5;757
29.03.2022;01:00;02:00;47.795,25;39.727,25;1.814,25
29.03.2022;02:00;03:00;47.026,75;39.303,5;2.629
29.03.2022;03:00;04:00;47.213,75;39.481,5;2.718,25
29.03.2022;04:00;05:00;48.769,5;41.413;2.432,75
29.03.2022;05:00;06:00;51.836;44.632,75;1.175,5
29.03.2022;06:00;07:00;59.286;52.419;241,5
29.03.2022;07:00;08:00;63.825,75;56.850,75;4,5
29.03.2022;08:00;09:00;66.076,25;56.500,75;7,5
29.03.2022;09:00;10:00;66.992,25;52.294,25;163,5
29.03.2022;10:00;11:00;68.354,5;48.241,75;1.110,5
29.03.2022;11:00;12:00;69.176;44.746,25;1.137,25
29.03.2022;12:00;13:00;68.480,25;40.322;2.203,25
29.03.2022;13:00;14:00;67.972;38.383,5;2.401,5
29.03.2022;14:00;15:00;66.633;37.659,75;2.182
29.03.2022;15:00;16:00;65.866,25;39.582,5;1.499,75
29.03.2022;16:00;17:00;63.785,5;41.967,75;923
29.03.2022;17:00;18:00;63.892;47.693,5;330,25
29.03.2022;18:00;19:00;63.938,5;53.569,75;112
29.03.2022;19:00;20:00;64.032,5;57.695,75;1
29.03.2022;20:00;21:00;63.613,25;57.728,25;39,25
29.03.2022;21:00;22:00;60.246,75;54.171,25;145,75
29.03.2022;22:00;23:00;56.826,75;50.703;398,5
29.03.2022;23:00;00:00;52.538,25;47.035,5;432,75
30.03.2022;00:00;01:00;49.050,25;44.327;1.241,75
30.03.2022;01:00;02:00;47.221;42.998,5;1.032,75
30.03.2022;02:00;03:00;46.006;42.660,75;1.857,25
30.03.2022;03:00;04:00;46.324,5;43.370,75;1.774
30.03.2022;04:00;05:00;48.101,75;45.153;2.304,5
30.03.2022;05:00;06:00;51.683,5;49.001,25;1.177,25
30.03.2022;06:00;07:00;58.689,75;55.955,75;169
30.03.2022;07:00;08:00;63.623,75;60.317,25;11,5
30.03.2022;08:00;09:00;66.608,25;60.898,25;40,5
30.03.2022;09:00;10:00;67.596,5;58.934,75;16,5
30.03.2022;10:00;11:00;68.524,75;56.727,25;7
30.03.2022;11:00;12:00;69.097,5;55.014;6,75
30.03.2022;12:00;13:00;68.573,75;53.790;66,5
30.03.2022;13:00;14:00;67.548,75;52.773;275,5
30.03.2022;14:00;15:00;66.019,75;51.525,5;311,25
30.03.2022;15:00;16:00;65.198;51.926,75;64,25
30.03.2022;16:00;17:00;64.443;52.405;28,25
30.03.2022;17:00;18:00;64.833,25;54.925,75;81,25
30.03.2022;18:00;19:00;65.335,75;57.220,75;3
30.03.2022;19:00;20:00;66.034,5;58.745,5;2,25
30.03.2022;20:00;21:00;65.138,5;57.050,5;78,5
30.03.2022;21:00;22:00;61.887,5;52.425;460
30.03.2022;22:00;23:00;58.568;48.925,25;786
30.03.2022;23:00;00:00;54.128,25;44.491,75;1.642,75
31.03.2022;00:00;01:00;50.830;39.987;2.849
31.03.2022;01:00;02:00;49.254;37.847,25;3.359,75
31.03.2022;02:00;03:00;48.604,5;36.891,5;3.601,25
31.03.2022;03:00;04:00;49.128,25;35.881,25;4.424,5
31.03.2022;04:00;05:00;50.670;36.369;4.170,75
31.03.2022;05:00;06:00;54.056,75;38.139,75;2.184,25
31.03.2022;06:00;07:00;60.895,25;43.453,25;573
31.03.2022;07:00;08:00;65.436,5;47.391,25;3,25
31.03.2022;08:00;09:00;68.471,75;48.304,25;1
31.03.2022;09:00;10:00;69.495;46.337,25;1
31.03.2022;10:00;11:00;70.756;44.354,5;5,75
31.03.2022;11:00;12:00;71.144;42.414,5;75,5
31.03.2022;12:00;13:00;71.280,5;40.416;296,5
31.03.2022;13:00;14:00;70.309,25;37.887,25;1.115,5
31.03.2022;14:00;15:00;69.241,75;35.577;1.663
31.03.2022;15:00;16:00;68.580,5;35.663,25;857,25
31.03.2022;16:00;17:00;67.759;36.055;797,5
31.03.2022;17:00;18:00;67.888,5;37.857,75;707
31.03.2022;18:00;19:00;68.369;39.488,75;1.256,75
31.03.2022;19:00;20:00;68.455,5;39.896,75;246,25
31.03.2022;20:00;21:00;67.074;38.197,75;407,5
31.03.2022;21:00;22:00;63.964;34.835;949,5
31.03.2022;22:00;23:00;60.983,5;32.697,5;2.288
31.03.2022;23:00;00:00;57.827,5;30.633,75;3.011,5
01.04.2022;00:00;01:00;55.158,75;28.450,5;4.461,5
01.04.2022;01:00;02:00;53.882;27.335,75;5.866,25
01.04.2022;02:00;03:00;52.920,5;26.712,25;6.043
01.04.2022;03:00;04:00;52.810,75;27.149,75;5.671,5
01.04.2022;04:00;05:00;53.858,5;28.127;5.022,75
01.04.2022;05:00;06:00;57.287;30.911,75;4.079
01.04.2022;06:00;07:00;64.275,25;36.807;668,25
01.04.2022;07:00;08:00;69.220,25;41.310,25;17,25
01.04.2022;08:00;09:00;72.397,5;42.967,5;5
01.04.2022;09:00;10:00;73.431;41.403,5;80
01.04.2022;10:00;11:00;75.001;39.973,75;87,75
01.04.2022;11:00;12:00;75.903,75;38.141,5;19,75
01.04.2022;12:00;13:00;75.643;36.888,75;256,5
01.04.2022;13:00;14:00;73.861,75;35.499,25;724,5
01.04.2022;14:00;15:00;71.969;33.905,75;1.285,5
01.04.2022;15:00;16:00;70.407,5;32.699;1.209,25
01.04.2022;16:00;17:00;69.001,75;32.844,25;848
01.04.2022;17:00;18:00;69.597;35.242,5;335,75
01.04.2022;18:00;19:00;69.255,75;37.523,5;128
01.04.2022;19:00;20:00;68.696,25;39.292;30,75
01.04.2022;20:00;21:00;66.705;37.672,25;244
01.04.2022;21:00;22:00;63.355;34.115,25;1.078
01.04.2022;22:00;23:00;60.708,75;32.516;1.525,25
01.04.2022;23:00;00:00;57.481,5;30.890,75;2.820
02.04.2022;00:00;01:00;54.442,25;29.711,75;3.488,25
02.04.2022;01:00;02:00;52.531,75;29.495;3.245,5
02.04.2022;02:00;03:00;51.082,5;29.642;3.188
02.04.2022;03:00;04:00;50.162,5;29.210,25;2.530,5
02.04.2022;04:00;05:00;49.549;28.814,75;2.274,25
02.04.2022;05:00;06:00;49.503;28.911,25;1.483,5
02.04.2022;06:00;07:00;49.949,25;29.082,25;892
02.04.2022;07:00;08:00;52.776,5;31.854,5;828,25
02.04.2022;08:00;09:00;57.380;34.873;392,75
02.04.2022;09:00;10:00;60.233,25;33.995,5;260,75
02.04.2022;10:00;11:00;62.907;32.733,5;856,75
02.04.2022;11:00;12:00;63.619,75;31.378;1.482
02.04.2022;12:00;13:00;62.623,5;30.189,75;2.382,25
02.04.2022;13:00;14:00;61.212;28.774,75;4.401,25
02.04.2022;14:00;15:00;59.079,75;28.038,25;5.135,5
02.04.2022;15:00;16:00;58.201;29.125,75;3.942,75
02.04.2022;16:00;17:00;57.155,75;30.472;1.955,25
02.04.2022;17:00;18:00;57.681,25;34.378,25;487,75
02.04.2022;18:00;19:00;58.654,5;40.003;109
02.04.2022;19:00;20:00;58.499,25;44.395;7
02.04.2022;20:00;21:00;56.783;44.991,5;5,75
02.04.2022;21:00;22:00;54.657;43.832,5;93
02.04.2022;22:00;23:00;52.773,5;42.241,75;421,75
02.04.2022;23:00;00:00;49.903;40.283,75;478,75
03.04.2022;00:00;01:00;47.382,25;39.278;321
03.04.2022;01:00;02:00;45.320,75;38.099,75;142,75
03.04.2022;02:00;03:00;44.312,5;37.309,75;143
03.04.2022;03:00;04:00;44.061;37.243;101,25
03.04.2022;04:00;05:00;44.494,25;37.373;21,75
03.04.2022;05:00;06:00;44.061;36.646,25;17
03.04.2022;06:00;07:00;43.841,75;36.169;29,5
03.04.2022;07:00;08:00;44.984,75;35.618,25;53
03.04.2022;08:00;09:00;48.299;36.337,25;17,5
03.04.2022;09:00;10:00;51.148,25;36.024,25;84
03.04.2022;10:00;11:00;53.509,25;32.388,5;2.275,5
03.04.2022;11:00;12:00;56.007;30.418;3.169
03.04.2022;12:00;13:00;55.559,5;27.548,5;3.819,75
03.04.2022;13:00;14:00;54.166,25;24.129,75;5.742
03.04.2022;14:00;15:00;53.147,75;22.457,25;5.760,5
03.04.2022;15:00;16:00;52.323,75;21.864,25;5.336,25
03.04.2022;16:00;17:00;51.932,25;22.906;4.365,5
03.04.2022;17:00;18:00;53.696,25;28.640,25;1.441,5
03.04.2022;18:00;19:00;54.970;35.193,5;229,5
03.04.2022;19:00;20:00;55.640,5;39.089,5;5
03.04.2022;20:00;21:00;55.771,25;38.808;6
03.04.2022;21:00;22:00;54.948;36.620,25;162,25
03.04.2022;22:00;23:00;54.524,5;34.053,75;408
03.04.2022;23:00;00:00;51.481;28.795,5;797
04.04.2022;00:00;01:00;49.104,25;25.851;1.347
04.04.2022;01:00;02:00;47.966,25;23.095,5;2.343,25
04.04.2022;02:00;03:00;47.868,5;21.769,25;3.782,25
04.04.2022;03:00;04:00;48.705,5;21.086,5;3.760
04.04.2022;04:00;05:00;50.240,5;21.097,5;2.975,5
04.04.2022;05:00;06:00;54.123,25;23.225,25;1.378,75
04.04.2022;06:00;07:00;61.799,75;27.003,5;226,75
04.04.2022;07:00;08:00;67.128,75;28.658,5;338,75
04.04.2022;08:00;09:00;70.026;25.921,75;665,5
04.04.2022;09:00;10:00;70.807,25;20.025;1.841,5
04.04.2022;10:00;11:00;71.844;16.597;3.947,25
04.04.2022;11:00;12:00;73.145,25;14.751,75;4.428,25
04.04.2022;12:00;13:00;73.286;14.595,75;5.328,5
04.04.2022;13:00;14:00;73.153,5;14.580,5;5.909
04.04.2022;14:00;15:00;71.979,5;15.365,75;5.504,25
04.04.2022;15:00;16:00;70.860,25;14.454,75;4.782,5
04.04.2022;16:00;17:00;69.730,5;14.742,25;4.331
04.04.2022;17:00;18:00;69.342,25;17.678,5;1.545
04.04.2022;18:00;19:00;69.714;21.519;446
04.04.2022;19:00;20:00;70.257;24.237,75;33
04.04.2022;20:00;21:00;67.836,5;22.329,75;87,5
04.04.2022;21:00;22:00;64.652,25;21.163;600,25
04.04.2022;22:00;23:00;61.303;20.931,5;1.307,25
04.04.2022;23:00;00:00;58.180,25;19.163;2.748,25
05.04.2022;00:00;01:00;55.311,25;16.908,75;3.807,25
05.04.2022;01:00;02:00;53.584;15.640,25;3.623,25
05.04.2022;02:00;03:00;52.234,75;15.179,25;3.236,25
05.04.2022;03:00;04:00;52.109;16.237,25;2.492,75
05.04.2022;04:00;05:00;53.390,75;19.428,5;1.049,5
05.04.2022;05:00;06:00;56.212,75;24.724,5;825
05.04.2022;06:00;07:00;63.023,5;33.358,5;190,25
05.04.2022;07:00;08:00;67.813,75;40.155,5;4,75
05.04.2022;08:00;09:00;70.336;43.926,25;0
05.04.2022;09:00;10:00;71.549;44.108,75;2,5
05.04.2022;10:00;11:00;72.459,25;44.295;10,5
05.04.2022;11:00;12:00;72.734,25;43.866;4,25
05.04.2022;12:00;13:00;72.139,75;42.688,75;338
05.04.2022;13:00;14:00;71.251;41.360,5;568
05.04.2022;14:00;15:00;69.438,75;39.937,75;538,5
05.04.2022;15:00;16:00;68.317,25;40.732,25;100,25
05.04.2022;16:00;17:00;67.204;42.497,25;207,25
05.04.2022;17:00;18:00;66.952,25;45.253;99
05.04.2022;18:00;19:00;67.406;47.935,25;25
05.04.2022;19:00;20:00;67.792;48.465,5;2,5
05.04.2022;20:00;21:00;66.073,25;44.374,25;193,25
05.04.2022;21:00;22:00;62.926,5;39.106;796
05.04.2022;22:00;23:00;59.637,5;35.199,75;1.224,5
05.04.2022;23:00;00:00;55.888,25;30.603,5;451,5
06.04.2022;00:00;01:00;51.909;26.633;603,25
06.04.2022;01:00;02:00;49.473;23.880,75;1.132,75
06.04.2022;02:00;03:00;48.732;22.190,75;2.366,5
06.04.2022;03:00;04:00;48.744,5;20.973,5;2.480,75
06.04.2022;04:00;05:00;50.575,5;21.069,5;3.031,25
06.04.2022;05:00;06:00;54.120,25;22.858,5;2.284,75
06.04.2022;06:00;07:00;60.953,25;27.650,75;197,25
06.04.2022;07:00;08:00;65.841,75;30.899;6,5
06.04.2022;08:00;09:00;69.268;31.012;2,75
06.04.2022;09:00;10:00;70.388,5;27.367,75;260,75
06.04.2022;10:00;11:00;71.959,75;24.478;689
06.04.2022;11:00;12:00;72.855;21.117,75;2.340,75
06.04.2022;12:00;13:00;73.594,25;18.811,25;4.430,25
06.04.2022;13:00;14:00;72.382,75;16.280,75;4.723,75
06.04.2022;14:00;15:00;70.823,25;14.789,25;4.561
06.04.2022;15:00;16:00;69.456,5;14.405,75;4.237,25
06.04.2022;16:00;17:00;68.075;16.793,75;3.583,25
06.04.2022;17:00;18:00;67.678;21.929,75;1.402,25
06.04.2022;18:00;19:00;67.423;27.779,75;263,75
06.04.2022;19:00;20:00;68.291;32.553;3,75
06.04.2022;20:00;21:00;66.689;31.106,25;27,25
06.04.2022;21:00;22:00;64.088,75;26.452,75;720,5
06.04.2022;22:00;23:00;60.256,5;21.614,25;1.303
06.04.2022;23:00;00:00;56.840,25;17.455,5;2.610,5
07.04.2022;00:00;01:00;53.532;13.934,75;2.972,75
07.04.2022;01:00;02:00;51.489,5;12.621,5;4.003,75
07.04.2022;02:00;03:00;50.725;12.325;4.434
07.04.2022;03:00;04:00;51.507,5;12.978,25;4.176
07.04.2022;04:00;05:00;52.903,25;13.447,5;3.202,25
07.04.2022;05:00;06:00;55.607,25;14.470,75;1.842
07.04.2022;06:00;07:00;62.751,25;19.244,25;791,5
07.04.2022;07:00;08:00;67.187;21.509,25;567,75
07.04.2022;08:00;09:00;70.521;21.552,25;592,5
07.04.2022;09:00;10:00;71.130,75;18.199,5;621,25
07.04.2022;10:00;11:00;72.409;17.613,5;511,75
07.04.2022;11:00;12:00;73.075,25;17.416,25;738,25
07.04.2022;12:00;13:00;72.840,5;16.506,25;2.167
07.04.2022;13:00;14:00;72.013,75;16.189,75;2.880,5
07.04.2022;14:00;15:00;71.352;16.992,25;2.531,75
07.04.2022;15:00;16:00;69.935,25;16.115,25;2.305,5
07.04.2022;16:00;17:00;68.420;14.773,25;1.435
07.04.2022;17:00;18:00;68.654,75;16.846;790,5
07.04.2022;18:00;19:00;68.812,5;20.128,75;393,5
07.04.2022;19:00;20:00;69.157,5;22.947,5;30,75
07.04.2022;20:00;21:00;67.567,75;21.716,75;282,5
07.04.2022;21:00;22:00;64.066,25;18.730,25;661
07.04.2022;22:00;23:00;60.582;16.996,75;1.925
07.04.2022;23:00;00:00;57.646,75;14.544,5;3.877,5
08.04.2022;00:00;01:00;54.785,25;13.726;5.321
08.04.2022;01:00;02:00;52.888,25;11.617,25;5.294,75
08.04.2022;02:00;03:00;51.892;11.281,75;5.316,5
08.04.2022;03:00;04:00;52.224,75;11.857,5;4.851,25
08.04.2022;04:00;05:00;53.583;13.651,5;3.407,5
08.04.2022;05:00;06:00;56.587,75;17.550;1.645
08.04.2022;06:00;07:00;62.956,25;23.819,25;1.098,75
08.04.2022;07:00;08:00;67.266,25;29.500,25;97,5
08.04.2022;08:00;09:00;69.374;30.790,75;14,75
08.04.2022;09:00;10:00;69.956,75;28.522,25;196,75
08.04.2022;10:00;11:00;70.754,5;28.598;671,25
08.04.2022;11:00;12:00;69.522,75;29.085;581,25
08.04.2022;12:00;13:00;69.281,25;32.055,25;668,25
08.04.2022;13:00;14:00;67.889,75;33.274,5;172,25
08.04.2022;14:00;15:00;66.768,75;35.221;7,75
08.04.2022;15:00;16:00;64.749,5;37.225,5;1,5
08.04.2022;16:00;17:00;64.580,5;39.733,5;151,75
08.04.2022;17:00;18:00;65.193;42.465,5;729,25
08.04.2022;18:00;19:00;64.703,5;45.289,75;56,25
08.04.2022;19:00;20:00;64.475,75;47.638,25;16,5
08.04.2022;20:00;21:00;62.831;45.354,25;121,25
08.04.2022;21:00;22:00;59.604;41.771,5;271,5
08.04.2022;22:00;23:00;57.014,25;39.259,25;188,75
08.04.2022;23:00;00:00;53.378;35.134,75;359,25
09.04.2022;00:00;01:00;50.539,75;31.044,5;264,25
09.04.2022;01:00;02:00;48.991,5;27.551,25;787,75
09.04.2022;02:00;03:00;48.185;24.073,5;1.856,25
09.04.2022;03:00;04:00;48.418,25;22.350,25;912,5
09.04.2022;04:00;05:00;49.270,5;21.581,75;1.445,25
09.04.2022;05:00;06:00;49.885,75;20.957,75;1.812
09.04.2022;06:00;07:00;50.470,5;20.350,25;1.529
09.04.2022;07:00;08:00;52.860;21.966;342
09.04.2022;08:00;09:00;56.473,5;21.022,75;575,75
09.04.2022;09:00;10:00;59.762,75;18.110,25;2.126,25
09.04.2022;10:00;11:00;61.650;14.544,5;2.770,75
09.04.2022;11:00;12:00;62.137,5;11.819;3.670,75
09.04.2022;12:00;13:00;61.259,5;9.303,25;5.008,25
09.04.2022;13:00;14:00;59.536,5;9.736;5.667,25
09.04.2022;14:00;15:00;56.978,75;9.650,75;5.360
09.04.2022;15:00;16:00;56.018,25;9.000,75;5.459,25
09.04.2022;16:00;17:00;56.091;10.350;5.059,5
09.04.2022;17:00;18:00;56.733,25;14.232,5;3.239,5
09.04.2022;18:00;19:00;57.316,25;20.356,25;830,75
09.04.2022;19:00;20:00;56.966;28.058;44,75
09.04.2022;20:00;21:00;55.586;28.001,25;3
09.04.2022;21:00;22:00;53.805,5;26.585;336
09.04.2022;22:00;23:00;52.311;25.414,75;291
09.04.2022;23:00;00:00;49.745,75;23.008;775
10.04.2022;00:00;01:00;47.474;20.379,25;1.945,5
10.04.2022;01:00;02:00;45.384;18.226,25;1.848,25
10.04.2022;02:00;03:00;44.538,25;17.650,5;2.356,5
10.04.2022;03:00;04:00;44.750;17.912;2.508,75
10.04.2022;04:00;05:00;45.138;18.843,5;1.967,5
10.04.2022;05:00;06:00;44.832,25;19.260;1.214,75
10.04.2022;06:00;07:00;44.710,5;18.989;2.188,25
10.04.2022;07:00;08:00;46.120,5;19.982,5;1.224,5
10.04.2022;08:00;09:00;49.609,25;19.113,25;2.087
10.04.2022;09:00;10:00;52.657,5;15.795,5;3.063,5
10.04.2022;10:00;11:00;54.999,25;13.305;4.158,75
10.04.2022;11:00;12:00;56.790,5;11.984,5;4.683,5
10.04.2022;12:00;13:00;56.746,5;11.390,75;4.724,75
10.04.2022;13:00;14:00;54.397,75;11.167;5.253,25
10.04.2022;14:00;15:00;52.426,25;11.163,75;4.991,75
10.04.2022;15:00;16:00;51.251,75;13.056;4.708,5
10.04.2022;16:00;17:00;51.219;15.357,75;3.991
10.04.2022;17:00;18:00;52.449,5;20.050,75;1.174,75
10.04.2022;18:00;19:00;53.358;29.092,5;293,75
10.04.2022;19:00;20:00;54.058,75;37.528;7,5
10.04.2022;20:00;21:00;54.366,25;40.580;6,25
10.04.2022;21:00;22:00;53.257,25;39.700,25;10
10.04.2022;22:00;23:00;52.515,25;39.804;111,5
10.04.2022;23:00;00:00;50.093;38.025;366
11.04.2022;00:00;01:00;47.450;36.521,75;777,5
11.04.2022;01:00;02:00;45.974,25;36.102,25;855,25
11.04.2022;02:00;03:00;45.992;36.385,25;1.064,25
11.04.2022;03:00;04:00;46.682,5;37.668,75;853,25
11.04.2022;04:00;05:00;48.086;39.660,5;320,5
11.04.2022;05:00;06:00;51.561,5;43.635;69,75
11.04.2022;06:00;07:00;58.151,75;50.284,5;52
11.04.2022;07:00;08:00;62.893,5;52.904,25;30
11.04.2022;08:00;09:00;65.593,25;49.839,25;209,5
11.04.2022;09:00;10:00;66.779,5;43.916,25;607,25
11.04.2022;10:00;11:00;67.361;37.075,5;1.429,25
11.04.2022;11:00;12:00;67.108,75;31.771,75;2.539,25
11.04.2022;12:00;13:00;66.644,75;28.913,75;3.263,25
11.04.2022;13:00;14:00;65.648,5;27.953,5;4.600,5
11.04.2022;14:00;15:00;64.216;27.998;5.415,25
11.04.2022;15:00;16:00;62.730,75;30.026;4.382,25
11.04.2022;16:00;17:00;60.707,5;33.948;1.650,5
11.04.2022;17:00;18:00;60.704,5;41.582,25;612
11.04.2022;18:00;19:00;61.069,25;50.246,75;250,25
11.04.2022;19:00;20:00;62.337,5;56.219,25;5,25
11.04.2022;20:00;21:00;61.700,75;54.601;6
11.04.2022;21:00;22:00;59.053;49.004,5;108,5
11.04.2022;22:00;23:00;55.937;43.844;254,5
11.04.2022;23:00;00:00;52.191;38.467,5;448,75
12.04.2022;00:00;01:00;48.790,75;33.505,25;1.813,75
12.04.2022;01:00;02:00;47.317;30.252,25;1.843,5
12.04.2022;02:00;03:00;46.785,5;28.629;2.728,75
12.04.2022;03:00;04:00;47.449,25;28.769,5;3.088,5
12.04.2022;04:00;05:00;48.821;30.080,5;1.983,5
12.04.2022;05:00;06:00;52.007,25;33.769,5;487,5
12.04.2022;06:00;07:00;58.064;39.357;9
12.04.2022;07:00;08:00;62.572;40.649,25;0
12.04.2022;08:00;09:00;65.033;37.744,5;108,25
12.04.2022;09:00;10:00;65.617,5;33.846,25;470,25
12.04.2022;10:00;11:00;66.442;28.345;2.447,5
12.04.2022;11:00;12:00;67.491;23.011;3.961,75
12.04.2022;12:00;13:00;67.074,25;17.941;5.354
12.04.2022;13:00;14:00;66.081,25;15.320,75;6.228,5
12.04.2022;14:00;15:00;64.946,5;16.534;5.717,25
12.04.2022;15:00;16:00;63.869,25;19.738;5.319,25
12.04.2022;16:00;17:00;61.701,5;23.844,25;3.278
12.04.2022;17:00;18:00;61.087,5;29.850,75;503,5
12.04.2022;18:00;19:00;62.030,25;37.113;9
12.04.2022;19:00;20:00;63.196;41.214,25;2,75
12.04.2022;20:00;21:00;62.860,5;39.844,5;11,5
12.04.2022;21:00;22:00;60.255;36.011;360,75
12.04.2022;22:00;23:00;56.811;32.905;752
12.04.2022;23:00;00:00;53.509,75;30.418,25;2.540
13.04.2022;00:00;01:00;50.262,25;27.425;2.377
13.04.2022;01:00;02:00;48.389,25;26.640,5;3.800,75
13.04.2022;02:00;03:00;47.433,75;27.237,75;3.921,5
13.04.2022;03:00;04:00;47.164,75;28.448,25;3.247,75
13.04.2022;04:00;05:00;48.163;31.424;778,75
13.04.2022;05:00;06:00;51.571,5;36.603,75;517
13.04.2022;06:00;07:00;57.363,75;44.268,75;142,5
13.04.2022;07:00;08:00;61.620;47.397,25;5,75
13.04.2022;08:00;09:00;64.169,75;46.649,5;6,25
13.04.2022;09:00;10:00;64.452,75;42.449,75;105,75
13.04.2022;10:00;11:00;64.914,5;37.677,75;791,5
13.04.2022;11:00;12:00;65.298,5;34.173;1.361,5
13.04.2022;12:00;13:00;65.079;31.579;3.035
13.04.2022;13:00;14:00;64.080;30.438,25;3.416,75
13.04.2022;14:00;15:00;62.555,75;30.485,25;3.305,75
13.04.2022;15:00;16:00;61.555,75;33.525,75;3.530,25
13.04.2022;16:00;17:00;59.989;37.540;1.868,25
13.04.2022;17:00;18:00;60.614,5;44.711;600,5
13.04.2022;18:00;19:00;61.020,75;51.584;238,75
13.04.2022;19:00;20:00;61.337,5;56.264,25;7
13.04.2022;20:00;21:00;60.244,5;55.679;5
13.04.2022;21:00;22:00;57.408;51.917,5;119,75
13.04.2022;22:00;23:00;54.172,75;48.464,25;280,5
13.04.2022;23:00;00:00;49.969;43.977,5;265
14.04.2022;00:00;01:00;47.096,5;40.584,25;1.186,25
14.04.2022;01:00;02:00;45.681;38.439,5;2.375,25
14.04.2022;02:00;03:00;45.247,75;37.129;3.991,75
14.04.2022;03:00;04:00;45.444;37.384,25;3.953,5
14.04.2022;04:00;05:00;46.788,75;38.968;3.779,5
14.04.2022;05:00;06:00;49.909;42.220,25;2.145
14.04.2022;06:00;07:00;55.448,5;47.714,5;700,25
14.04.2022;07:00;08:00;60.145,25;50.545,75;155,5
14.04.2022;08:00;09:00;63.421,5;49.989,5;29,5
14.04.2022;09:00;10:00;64.501;46.079,25;55,75
14.04.2022;10:00;11:00;65.003,75;40.406;717,25
14.04.2022;11:00;12:00;65.300,75;36.587,75;1.489,5
14.04.2022;12:00;13:00;64.876,5;33.968,25;2.823,5
14.04.2022;13:00;14:00;63.158,75;31.981;2.398,25
14.04.2022;14:00;15:00;61.909,75;31.806,25;2.678,5
14.04.2022;15:00;16:00;60.937,25;33.148;3.019
14.04.2022;16:00;17:00;59.578,5;35.101,5;1.163
14.04.2022;17:00;18:00;59.862,75;40.654,25;1.031,5
14.04.2022;18:00;19:00;59.566,5;45.591;176,25
14.04.2022;19:00;20:00;59.639,75;49.561,75;33,5
14.04.2022;20:00;21:00;57.918,25;49.046,25;4,5
14.04.2022;21:00;22:00;55.225,75;46.428;54,25
14.04.2022;22:00;23:00;51.373;42.803,5;408,5
14.04.2022;23:00;00:00;47.495,25;39.643,5;158,75
15.04.2022;00:00;01:00;44.327,25;37.006,75;195,75
15.04.2022;01:00;02:00;42.365,75;34.774,25;117,25
15.04.2022;02:00;03:00;40.952,25;33.506,75;84,5
15.04.2022;03:00;04:00;40.431,5;33.128,25;726,5
15.04.2022;04:00;05:00;40.995,5;33.196,75;469
15.04.2022;05:00;06:00;41.207,5;33.116,5;585,5
15.04.2022;06:00;07:00;41.198,5;32.431,25;379,75
15.04.2022;07:00;08:00;43.319,75;32.884,5;34
15.04.2022;08:00;09:00;46.538,75;32.682,75;78
15.04.2022;09:00;10:00;49.679;31.586,25;180,25
15.04.2022;10:00;11:00;51.517,5;28.981,5;518,25
15.04.2022;11:00;12:00;53.611,5;28.171;499,75
15.04.2022;12:00;13:00;53.222,75;26.653;1.050,25
15.04.2022;13:00;14:00;51.349,25;24.210,75;1.398
15.04.2022;14:00;15:00;49.205;22.331,75;2.854,5
15.04.2022;15:00;16:00;48.561,75;23.640,5;3.223,25
15.04.2022;16:00;17:00;47.719,25;25.675,25;1.345,75
15.04.2022;17:00;18:00;48.101;30.471;345
15.04.2022;18:00;19:00;49.323,25;36.026,5;181,5
15.04.2022;19:00;20:00;50.125,75;39.949,5;125,5
15.04.2022;20:00;21:00;49.889,25;40.165,25;112,25
15.04.2022;21:00;22:00;48.813,25;38.350,25;119,25
15.04.2022;22:00;23:00;47.012;36.062,25;581,5
15.04.2022;23:00;00:00;44.539,5;33.260,25;1.979,5
16.04.2022;00:00;01:00;41.650,5;30.215,5;580,25
16.04.2022;01:00;02:00;40.014,5;28.230;953,25
